state_name,key_industries
Alabama,http://www.madeinalabama.com/industries/
Alaska,https://www.commerce.alaska.gov/web/
Arizona,https://www.azcommerce.com/industries/
Arkansas,https://www.arkansasedc.com/why-arkansas/key-industries
California,https://teamca.org/
Colorado,https://choosecolorado.com/key-industries/
Connecticut,https://portal.ct.gov/ChooseCT/Why-CT/Growing-Industries
Delaware,
Florida,https://www.enterpriseflorida.com/industries/
Georgia,https://www.georgia.org/
Hawaii,http://www.hiedb.org/
Idaho,https://commerce.idaho.gov/site-selection/key-industries/
Illinois,https://www2.illinois.gov/dceo/whyillinois/TargetIndustries/Pages/default.aspx
Indiana,https://www.iedc.in.gov/industries
Iowa,https://www.iowaeconomicdevelopment.com/advanced-manufacturing
Kansas,http://www.kansascommerce.gov/233/Industries
Kentucky,http://www.thinkkentucky.com/Existing_Industries/Major_Industries.aspx
Louisiana,https://www.opportunitylouisiana.com/key-industries
Maine,
Maryland,https://open.maryland.gov/industries/
Massachusetts,https://massecon.com/ma_advantage/industry_clusters_and_leaders/
Michigan,https://www.michiganbusiness.org/industries/
Minnesota,https://mn.gov/deed/ed/minnesota-industries/
Mississippi,https://www.mississippi.org/home-page/our-advantages/target-industries-overview/
Missouri,https://www.missouripartnership.com/industry-strengths/
Montana,https://choosemontana.com/Work#Key-Industries-2459
Nebraska,https://opportunity.nebraska.gov/why-nebraska/industries/
Nevada,http://www.diversifynevada.com/key-industries/
"New Hampshire",https://www.nheconomy.com/
"New Jersey",https://www.choosenj.com/key-industries
"New Mexico",https://nmpartnership.com/industry-sectors/
"New York",https://esd.ny.gov/industries
"North Carolina",https://www.nccommerce.com/business/key-industries-north-carolina
"North Dakota",https://www.business.nd.gov/manufacturing/
Ohio,https://www.jobsohio.com/industries/food-agribusiness/#
Oklahoma,https://www.greateroklahomacity.com/industries/key-industries/
Oregon,https://www.oregon4biz.com/Oregon-Business/Industries/
Pennsylvania,https://dced.pa.gov/key-industries/
"Rhode Island",https://commerceri.com/industries/it-software-cyber-physical-systems-data-analytics/
"South Carolina",https://www.sccommerce.com/industries
"South Dakota",http://www.sdreadytowork.com/KeyIndustries
Tennessee,https://tnecd.com/industries/advanced-materials/
Texas,https://gov.texas.gov/business/page/target-industries
Utah,https://business.utah.gov/industries/
Vermont,https://www.thinkvermont.com/key-industries/
Virginia,https://www.vedp.org/key-industries
Washington,http://choosewashingtonstate.com/why-washington/our-key-sectors/
"West Virginia",http://westvirginia.gov/key-industries.html
Wisconsin,https://inwisconsin.com/key-industries-in-wisconsin/
Wyoming,http://www.wyomingbusiness.org/content/industryprofiles
